2024-03-03T12:03:56.145965 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,34,0*79
2024-03-03T12:03:56.145989 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,103*50
2024-03-03T12:03:56.146005 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,105*56
2024-03-03T12:03:56.180449 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK011,MTKGPS*08
2024-03-03T12:03:56.928022 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK010,001*2E
2024-03-03T12:03:56.928069 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK011,MTKGPS*08
2024-03-03T12:03:56.959384 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK010,002*2D
2024-03-03T12:03:56.959428 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235943.098,,,,,0,0,,,M,,M,,*5D
2024-03-03T12:03:56.993980 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:03:57.028490 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:03:57.059449 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235943.098,V,,,,,0.00,0.00,050180,,,N*54
2024-03-03T12:03:57.128418 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:03:57.965589 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235944.097,,,,,0,0,,,M,,M,,*55
2024-03-03T12:03:58.000124 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:03:58.034486 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:03:58.065468 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235944.097,V,,,,,0.00,0.00,050180,,,N*5C
2024-03-03T12:03:58.134394 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:03:58.975001 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235945.097,,,,,0,0,,,M,,M,,*54
2024-03-03T12:03:59.006485 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:03:59.040987 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:03:59.075448 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235945.097,V,,,,,0.00,0.00,050180,,,N*5D
2024-03-03T12:03:59.106429 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:03:59.981054 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235946.097,,,,,0,0,,,M,,M,,*57
2024-03-03T12:04:00.015458 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:04:00.047049 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:04:00.081417 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235946.097,V,,,,,0.00,0.00,050180,,,N*5E
2024-03-03T12:04:00.116095 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:04:00.957628 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235947.097,,,,,0,0,,,M,,M,,*56
2024-03-03T12:04:01.022382 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:04:01.056938 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:04:01.057019 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSV,1,1,00*79
2024-03-03T12:04:01.090981 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSV,1,1,00*65
2024-03-03T12:04:01.122379 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235947.097,V,,,,,0.00,0.00,050180,,,N*5F
2024-03-03T12:04:01.157086 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:04:01.191448 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK705,AXN_5.1.6_3333_18041700,0005,1616D,1.0*6F
2024-03-03T12:04:01.970992 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235948.097,,,,,0,0,,,M,,M,,*59
2024-03-03T12:04:02.002008 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:04:02.036987 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:04:02.070965 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235948.097,V,,,,,0.00,0.00,050180,,,N*50
2024-03-03T12:04:02.136961 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:04:02.977076 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235949.097,,,,,0,0,,,M,,M,,*58
2024-03-03T12:04:03.011420 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:04:03.043035 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
