,,,,,,0009.097,V,,,,,0.00,0.00,060180,,,N*2024-03-03T12:10:14.386490 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$CDACK,34,0*79
2024-03-03T12:10:21.249267 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:21.283784 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:21.318215 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235949.097,V,,,,,0.00,0.00,050180,,,N*51
2024-03-03T12:10:21.384214 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:22.223329 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235950.098,,,,,0,0,,,M,,M,,*5F
2024-03-03T12:10:22.257671 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:22.289216 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:22.323222 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235950.098,V,,,,,0.00,0.00,050180,,,N*56
2024-03-03T12:10:22.357656 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:23.229738 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235951.098,,,,,0,0,,,M,,M,,*5E
2024-03-03T12:10:23.264222 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:23.298654 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:23.329640 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235951.098,V,,,,,0.00,0.00,050180,,,N*57
2024-03-03T12:10:23.364242 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:24.206460 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235952.098,,,,,0,0,,,M,,M,,*5D
2024-03-03T12:10:24.273222 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:24.307205 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:24.307270 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSV,1,1,00*79
2024-03-03T12:10:24.338641 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSV,1,1,00*65
2024-03-03T12:10:24.373203 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235952.098,V,,,,,0.00,0.00,050180,,,N*54
2024-03-03T12:10:24.407690 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:24.438682 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK705,AXN_5.1.6_3333_18041700,0005,1616D,1.0*6F
2024-03-03T12:10:25.220359 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235953.098,,,,,0,0,,,M,,M,,*5C
2024-03-03T12:10:25.254660 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:25.286236 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:25.320259 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235953.098,V,,,,,0.00,0.00,050180,,,N*55
2024-03-03T12:10:25.386199 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:26.227866 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235954.098,,,,,0,0,,,M,,M,,*5B
2024-03-03T12:10:26.262347 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:26.296215 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:26.327692 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235954.098,V,,,,,0.00,0.00,050180,,,N*52
2024-03-03T12:10:26.362287 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:27.201813 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235955.098,,,,,0,0,,,M,,M,,*5A
2024-03-03T12:10:27.267317 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:27.301669 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:27.336228 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235955.098,V,,,,,0.00,0.00,050180,,,N*53
2024-03-03T12:10:27.367323 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:28.207827 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235956.098,,,,,0,0,,,M,,M,,*59
2024-03-03T12:10:28.242288 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:28.276684 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:28.308370 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235956.098,V,,,,,0.00,0.00,050180,,,N*50
2024-03-03T12:10:28.376708 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:29.218793 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235957.098,,,,,0,0,,,M,,M,,*58
2024-03-03T12:10:29.250296 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:29.283279 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:29.317660 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSV,1,1,00*79
2024-03-03T12:10:29.352225 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSV,1,1,00*65
2024-03-03T12:10:29.352266 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235957.098,V,,,,,0.00,0.00,050180,,,N*51
2024-03-03T12:10:29.417644 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:29.452235 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK705,AXN_5.1.6_3333_18041700,0005,1616D,1.0*6F
2024-03-03T12:10:30.232761 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235958.097,,,,,0,0,,,M,,M,,*58
2024-03-03T12:10:30.264239 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:30.298648 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:30.333219 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235958.097,V,,,,,0.00,0.00,050180,,,N*51
2024-03-03T12:10:30.364251 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:31.204896 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,235959.097,,,,,0,0,,,M,,M,,*59
2024-03-03T12:10:31.273272 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:31.273341 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:31.304726 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,235959.097,V,,,,,0.00,0.00,050180,,,N*50
2024-03-03T12:10:31.373677 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:32.214375 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000000.097,,,,,0,0,,,M,,M,,*58
2024-03-03T12:10:32.245313 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:32.279684 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:32.314259 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000000.097,V,,,,,0.00,0.00,060180,,,N*52
2024-03-03T12:10:32.379748 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:33.220376 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000001.097,,,,,0,0,,,M,,M,,*59
2024-03-03T12:10:33.254695 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:33.286275 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:33.320666 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000001.097,V,,,,,0.00,0.00,060180,,,N*53
2024-03-03T12:10:33.386227 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:34.228353 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000002.097,,,,,0,0,,,M,,M,,*5A
2024-03-03T12:10:34.262738 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:34.295269 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:34.329239 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSV,1,1,00*79
2024-03-03T12:10:34.329277 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSV,1,1,00*65
2024-03-03T12:10:34.363664 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000002.097,V,,,,,0.00,0.00,060180,,,N*50
2024-03-03T12:10:34.395275 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:34.463744 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK705,AXN_5.1.6_3333_18041700,0005,1616D,1.0*6F
2024-03-03T12:10:35.210847 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000003.097,,,,,0,0,,,M,,M,,*5B
2024-03-03T12:10:35.242298 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:35.276779 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:35.311275 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000003.097,V,,,,,0.00,0.00,060180,,,N*51
2024-03-03T12:10:35.376664 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:36.217399 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000004.097,,,,,0,0,,,M,,M,,*5C
2024-03-03T12:10:36.251715 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:36.282750 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:36.317303 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000004.097,V,,,,,0.00,0.00,060180,,,N*56
2024-03-03T12:10:36.383248 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:37.223844 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000005.097,,,,,0,0,,,M,,M,,*5D
2024-03-03T12:10:37.257709 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:37.292313 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:37.323712 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000005.097,V,,,,,0.00,0.00,060180,,,N*57
2024-03-03T12:10:37.358286 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:38.233362 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000006.097,,,,,0,0,,,M,,M,,*5E
2024-03-03T12:10:38.264298 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:38.298677 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:38.333273 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000006.097,V,,,,,0.00,0.00,060180,,,N*54
2024-03-03T12:10:38.364281 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:39.206471 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000007.097,,,,,0,0,,,M,,M,,*5F
2024-03-03T12:10:39.275312 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2024-03-03T12:10:39.275345 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSA,A,1,,,,,,,,,,,,,,,*02
2024-03-03T12:10:39.307326 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GPGSV,1,1,00*79
2024-03-03T12:10:39.341706 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GLGSV,1,1,00*65
2024-03-03T12:10:39.373296 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNRMC,000007.097,V,,,,,0.00,0.00,060180,,,N*55
2024-03-03T12:10:39.407271 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNVTG,0.00,T,,M,0.00,N,0.00,K,N*2C
2024-03-03T12:10:39.441701 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$PMTK705,AXN_5.1.6_3333_18041700,0005,1616D,1.0*6F
2024-03-03T12:10:40.220421 ,AXN_5.1.6_3333_18041700,0005,FW786786,SW156523,$GNGGA,000008.097,,,,,0,0,,,M,,M,,*50
